Year,Date,City,State,StateColour,Setting,Establishment,Fatalities,Injured,TotalVictims,ShooterName,ShooterGender,ShooterAge,ShooterRace,PriorMentalIssues,LegalWeapons,WeaponType,WeaponDetails
2022,"Jun 01,",Tulsa,Oklahoma,Red,workplace,Tulsa medical center shooting,4,0,4,Michael Louis,Male,45,Black,U/D,Yes,"Semi-automatic rifle, semi-automatic handgun",AR-15 style rifle
2022,"May 24,",Uvalde,Texas,Red,School,Robb Elementary School massacre,21,17,38,Salvador Ramos,Male,18,Hispanic,Yes,Yes,Semi-automatic rifles,U/D
2022,"May 14,",Buffalo,New York,Blue,workplace,Buffalo supermarket massacre,10,3,13,Payton S. Gendron,Male,18,White,Yes,Yes,Semi-automatic rifle,Bushmaster XM-15
2021,"Nov 30,",Oxford,Michigan,Blue,School,Oxford High School shooting,4,7,11,Ethan Robert Crumbley,Male,15,White,U/D,U/D,Semi-automatic handgun,Sig Sauer 9mm pistol
2021,"May 26,",San Jose,California,Blue,Workplace,San Jose VTA shooting,9,0,9,Samuel Cassidy,Male,57,White,Yes,U/D,Semi-automatic handguns,U/D
2021,"Apr 15,",Indianapolis,Indiana,Red,Workplace,FedEx warehouse shooting,8,7,15,Brandon Scott Hole,Male,19,White,Yes,Yes,Semi-automatic rifle,U/D
2021,"Mar 31,",Orange,California,Blue,Workplace,Orange office complex shooting,4,1,5,Aminadab Gaxiola Gonzalez,Male,44,Hispanic,U/D,U/D,Semi-automatic handgun,U/D
2021,"Mar 22,",Boulder,Colorado,Blue,Workplace,Boulder supermarket shooting,10,0,10,Ahmad Al Aliwi Alissa,Male,21,Arab,Yes,Yes,"Semi-automatic rifle, semi-automatic handgun",Ruger AR-556
2020,"Feb 26,",Milwaukee,Wisconsin,Blue,Workplace,Molson Coors shooting,5,0,5,Anthony Ferrill,Male,51,Black,U/D,U/D,Semi-automatic handgun,U/D
2019,"Dec 06,",Pensacola,Florida,Red,Military,Pensacola Naval base shooting,3,8,11,Ahmed Mohammed al-Shamrani,Male,21,Arab,U/D,U/D,Semi-automatic handgun,U/D
2019,"Aug 31,",Odessa,Texas,Red,Other,Odessa-Midland shooting spree,7,25,32,Seth A. Ator,Male,36,White,Yes,U/D,Semi-automatic rifle,U/D
2019,"Aug 04,",Dayton,Ohio,Red,Other,Dayton entertainment district shooting,9,27,36,Connor Betts,Male,24,White,U/D,Yes,Semi-automatic rifle,U/D
2019,"Aug 03,",El Paso,Texas,Red,Workplace,El Paso Walmart mass shooting,22,26,48,Patrick Crusius,Male,21,White,U/D,Yes,Semi-automatic rifle,AK-47-style rifle
2019,"Jul 28,",Gilroy,California,Blue,Other,Gilroy garlic festival shooting,3,12,15,Santino William LeGan,Male,19,White,U/D,Yes,Semi-automatic rifle,AK-47-style rifle
2018,"Nov 19,",Chicago,Illinois,Blue,Workplace,Mercy Hospital shooting,3,0,3,Juan Lopez,Male,32,Hispanic,U/D,U/D,Semi-automatic handgun,9mm handgun
2018,"Nov 07,",Thousand Oaks,California,Blue,Other,Thousand Oaks nightclub shooting,12,22,34,Ian David Long,Male,28,White,Yes,Yes,Semi-automatic handgun,"Glock 21, .45 caliber"
2018,"Oct 27,",Pittsburgh,Pennsylvania,Blue,Religious,Tree of Life synagogue shooting,11,6,17,Robert D. Bowers,Male,46,White,U/D,Yes,"Semi-automatic rifle, semi-automatic handguns","AR-15, Glock .357"
2018,"Sep 20,",Perryman,Maryland,Blue,Workplace,Rite Aid warehouse shooting,3,3,6,Snochia Moseley,Female,26,Black,U/D,Yes,Semi-automatic handgun,Glock 9 mm
2018,"Sep 06,",Cincinnati,Ohio,Red,Workplace,Fifth Third Center shooting,3,2,5,Omar Enrique Santa Perez,Male,29,Hispanic,Yes,Yes,Semi-automatic handgun,9mm handgun
2018,"Apr 22,",Nashville,Tennessee,Red,Other,Waffle House shooting,4,4,8,Travis Reinking,Male,29,White,Yes,Yes,Semi-automatic rifle,AR-15
2018,"Mar 09,",Yountville,California,Blue,Workplace,Yountville veterans home shooting,3,0,3,Albert Cheung Wong,Male,36,Asian,Yes,Yes,"Semi-automatic rifle, shotgun",U/D
2018,"Feb 14,",Parkland,Florida,Red,School,Marjory Stoneman Douglas High School shooting,17,17,34,Nikolas J. Cruz,Male,19,White,Yes,Yes,Semi-automatic rifle,AR-15
2018,"Jan 28,",Melcroft,Pennsylvania,Blue,Other,Pennsylvania carwash shooting,4,1,5,Timothy O'Brien Smith,Male,28,White,U/D,U/D,"Semi-automatic rifle, semi-automatic handgun",U/D
2017,"Nov 14,",Rancho Tehama,California,Blue,Other,Rancho Tehama shooting spree,5,10,15,Kevin Janson Neal,Male,44,White,U/D,No,Semi-automatic rifles,U/D
2017,"Nov 05,",Sutherland Springs,Texas,Red,Religious,Texas First Baptist Church massacre,26,20,46,Devin Patrick Kelley,Male,26,White,Yes,U/D,Semi-automatic rifle,Ruger AR-556
2017,"Nov 01,",Thornton,Colorado,Blue,Other,Walmart shooting in suburban Denver,3,0,3,Scott Allen Ostrem,Male,47,White,U/D,U/D,Semi-automatic handgun,U/D
2017,"Jun 05,",Orlando,Florida,Red,Workplace,Florida awning manufacturer shooting,5,0,5,John Robert Neumann,Male,45,White,U/D,U/D,Semi-automatic handgun,U/D
2017,"Jun 06,",Fort Lauderdale,Florida,Red,Airport,Fort Lauderdale airport shooting,5,6,11,Esteban Santiago,Male,26,Hispanic,Yes,Yes,Semi-automatic handgun,Walther 9mm semi-automatic pistol
2016,"Jul 17,",Baton Rouge,Lousiana,Red,Other,Baton Rouge police shooting,3,3,6,Gavin Long,Male,29,Black,Yes,U/D,"Semi-automatic rifles, semi-automatic handgun","IWI Tavor SAR 5.56 caliber rifle, Springfield XD 9, 9mm"
2016,"Jul 07,",Dallas,Texas,Red,Other,Dallas police shooting,5,11,16,Micah Xavier Johnson,Male,25,Black,U/D,Yes,"Semi-automatic rifle, semi-automatic handguns","Izhmash-Saiga 5.45mm semi-automatic rifle, Glock 9mm handgun, .25-caliber semiautomatic handgun"
2016,"Jun 12,",Orlando,Florida,Red,Other,Orlando nightclub massacre,49,53,102,Omar Mateen,Male,29,Arab,U/D,Yes,"Semi-automatic rifle, semi-automatic handgun","Sig Sauer MCX rifle, Glock 17 9mm"
2016,"Feb 25,",Hesston,Kansas,Red,Workplace,Excel Industries mass shooting,3,14,17,Cedric L. Ford,Male,38,Black,U/D,Yes,"Semi-automatic rifle, semi-automatic handgun","Zastava Serbia AK-47-style rifle, Glock Model 22 .40-caliber handgun"
2016,"Feb 20,",Kalamazoo County,Michigan,Blue,Other,Kalamazoo shooting spree,6,2,8,Jason B. Dalton,Male,45,White,U/D,Yes,Semi-automatic handgun,9 mm handgun
2015,"Dec 02,",San Bernardino,California,Blue,Workplace,San Bernardino mass shooting,14,21,35,Syed Rizwan Farook & Tashfeen Malik,Male & Female,28,Asian,U/D,Yes,"Assault rifles, semi-automatic pistols","Semi-automatic AR-15-style rifles, DPMS A-15, Smith & Wesson M&P15, .223 calibre ammunition, 9mm semi-automatic handgun"
2015,"Jul 16,",Chattanooga,Tennessee,Red,Military,Chattanooga military recruitment center,5,2,7,Mohammod Youssuf Abdulazeez,Male,24,Arab,U/D,Yes,"Assault rifles, semi-automatic handgun","AK-47, AR-15, 9mm handgun"
2014,"May 23,",Santa Barbara,California,Blue,School,Isla Vista mass murder,6,13,19,Elliot Rodger,Male,22,White,Yes,Yes,"Semi-automatic handgun, hunting knives","Sig Sauer P226 semi-automatic pistols, Glock 34 pistol, 6U/Dinch & 8-inch, hunting knives."
2013,"Jul 26,",Hialeah,Florida,Red,Other,Hialeah apartment shooting,7,0,7,Pedro Vargas,Male,42,Hispanic,U/D,Yes,9mm semi-automatic handgun,Glock 17
2013,"Apr 21,",Federal Way,Washington,Blue,Other,Pinewood Village Apartment shooting,5,0,5,Dennis Clark III,Male,27,Black,No,Yes,"Semi-automatic handgun, shotgun",".40 caliber semi-automatic handgun, pistol grip shotgun"
2012,"Dec 14,",Newtown,Connecticut,Blue,School,Sandy Hook Elementary massacre,27,2,29,Adam Lanza,Male,20,White,Yes,No,"Semi-automatic handguns, assault rifle, shotgun","10mm Glock, 9mm SIG Sauer P226 semi-automatic handgun, .223 Bushmaster XM15-E2S semi-automatic rifle; Izhmash Saiga-12 12-gauge semi-automatic shotgun"
2012,"Sep 27,",Minneapolis,Minnesota,Blue,Workplace,Accent Signage Systems shooting,7,1,8,Andrew Engeldinger,Male,36,White,Yes,Yes,Semi-automatic handgun,9mm Glock semi-automatic handgun
2012,"Aug 05,",Oak Creek,Wisconsin,Blue,Religious,Sikh temple shooting,7,3,10,Wade Michael Page,Male,40,White,Yes,Yes,Semi-automatic handgun,9mm Springfield Armory XDM semi-automatic handgun
2012,"Jul 20,",Aurora,Colorado,Blue,Other,Aurora theater shooting,12,70,82,James Holmes,Male,24,White,Yes,Yes,"Semi-automatic handguns, assault rifle, shotgun",".40-caliber Glock semi-automatic handguns, .223-caliber Smith & Wesson M&P15 semi-automatic rifle, 12-gauge Remington 870 pump-action shotgun"
2012,"May 20,",Seattle,Washington,Blue,Other,Seattle cafe shooting,6,1,7,Ian Stawicki,Male,40,White,Yes,Yes,Semi-automatic handguns,.45-caliber semi-automatic handguns
2012,"Apr 02,",Oakland,California,Blue,School,Oikos University killings,7,3,10,One L. Goh,Male,43,Asian,Yes,Yes,Semi-automatic handgun,.45-caliber semi-automatic handgun
2012,"Feb 21,",Norcross,Georgia,Blue,Other,Su Jung Health Sauna shooting,5,0,5,Jeong Soo Paek,Male,59,Asian,Yes,Yes,Semi-automatic handgun,.45-caliber semi-automatic handgun
2011,"Oct 12,",Seal Beach,California,Blue,Other,Seal Beach shooting,8,1,9,Scott Evans Dekraai,Male,42,White,Yes,Yes,"Semi-automatic handguns, revolver",".45-caliber Heckler & Koch, 9mm Springfield semi-automatic handguns; .44 Magnum Smith & Wesson revolver"
